tileSize,tileCount,campaignIndex,replicateIndex,seed,bytesPerInvocation,timedTotalBytes,repeatCount,trialIndex,executionOrder,indexedMs,feedbackMs,pairedDeltaMs,pairedRatio
16,16,1,1,10101,12288,8392704,683,1,indexed-first,0.0247210834553441,0.0259939970717423,0.00127291361639824,1.05149101246706
16,16,1,1,10101,12288,8392704,683,2,feedback-first,0.0239717423133236,0.0231115666178624,-0.000860175695461204,0.964117097363294
16,16,1,1,10101,12288,8392704,683,3,indexed-first,0.0252042459736457,0.0232692532942899,-0.00193499267935578,0.923227511690726
16,16,1,1,10101,12288,8392704,683,4,feedback-first,0.02310878477306,0.0229717423133236,-0.000137042459736458,0.994069681245367
16,16,1,1,10101,12288,8392704,683,5,indexed-first,0.023708345534407,0.0225623718887262,-0.00114597364568082,0.951663702386246
16,16,1,1,10101,12288,8392704,683,6,feedback-first,0.0232368960468521,0.0223190336749634,-0.000917862371888727,0.960499785770094
16,16,1,1,10101,12288,8392704,683,7,indexed-first,0.0236269399707174,0.0229784773060029,-0.000648462664714491,0.972554098604467
16,16,1,1,10101,12288,8392704,683,8,feedback-first,0.0243559297218155,0.0229139092240117,-0.00144202049780381,0.940793863577616
16,16,1,1,10101,12288,8392704,683,9,indexed-first,0.0238475841874085,0.0236806734992679,-0.000166910688140558,0.993000939347614
16,16,1,1,10101,12288,8392704,683,10,feedback-first,0.0238385065885798,0.0229382137628111,-0.000900292825768666,0.962233673387914
16,16,1,2,10102,12288,8392704,683,1,indexed-first,0.0232727672035139,0.0225023426061493,-0.00077042459736457,0.966895874881254
16,16,1,2,10102,12288,8392704,683,2,feedback-first,0.0227393850658858,0.0222660322108346,-0.000473352855051245,0.979183568347177
16,16,1,2,10102,12288,8392704,683,3,indexed-first,0.0230598828696925,0.0219464128843338,-0.00111346998535871,0.951713979136375
16,16,1,2,10102,12288,8392704,683,4,feedback-first,0.025606588579795,0.0222901903367496,-0.00331639824304539,0.870486526047355
16,16,1,2,10102,12288,8392704,683,5,indexed-first,0.0228715959004392,0.0223730600292826,-0.000498535871156659,0.978202838432141
16,16,1,2,10102,12288,8392704,683,6,feedback-first,0.0233207906295754,0.0224143484626647,-0.00090644216691069,0.961131585060365
16,16,1,2,10102,12288,8392704,683,7,indexed-first,0.0233786237188873,0.023599121522694,0.000220497803806733,1.00943159898795
16,16,1,2,10102,12288,8392704,683,8,feedback-first,0.029996046852123,0.0220124450951684,-0.00798360175695461,0.733844869748576
16,16,1,2,10102,12288,8392704,683,9,indexed-first,0.0231163982430454,0.0222216691068814,-0.000894729136163983,0.961294613167812
16,16,1,2,10102,12288,8392704,683,10,feedback-first,0.0249612005856515,0.0220530014641288,-0.00290819912152269,0.883491216236032
16,16,1,3,10103,12288,8392704,683,1,indexed-first,0.0230774524158126,0.0227275256222548,-0.000349926793557831,0.984836853425031
16,16,1,3,10103,12288,8392704,683,2,feedback-first,0.0229428989751098,0.0229055636896047,-3.73352855051259e-05,0.998372686662412
16,16,1,3,10103,12288,8392704,683,3,indexed-first,0.0226714494875549,0.0220427525622255,-0.000628696925329429,0.972269222324116
16,16,1,3,10103,12288,8392704,683,4,feedback-first,0.0229456808199122,0.022203513909224,-0.000742166910688142,0.967655485295337
16,16,1,3,10103,12288,8392704,683,5,indexed-first,0.0232966325036603,0.0222629575402635,-0.00103367496339678,0.955629854948591
16,16,1,3,10103,12288,8392704,683,6,feedback-first,0.0232279648609078,0.0231824304538799,-4.55344070278176e-05,0.998039672984677
16,16,1,3,10103,12288,8392704,683,7,indexed-first,0.0234765739385066,0.0226814055636896,-0.000795168374816982,0.966129283731953
16,16,1,3,10103,12288,8392704,683,8,feedback-first,0.0232836017569546,0.0231117130307467,-0.000171888726207905,0.992617605815365
16,16,1,3,10103,12288,8392704,683,9,indexed-first,0.0235472913616398,0.0225743777452416,-0.000972913616398247,0.95868256771209
