image,nonceIndex,repeatCipherExact,repeatSivExact,changedSiv,xorByteAgreementPercent,additiveByteAgreementPercent,xorPixelAgreementPercent,additivePixelAgreementPercent,xorPSNRdB,additivePSNRdB
kodim01.png,1,1,1,1,0.381384955512153,0.381384955512153,0,0,9.26737648340594,9.26251784066182
kodim01.png,2,1,1,1,0.387234157986111,0.387234157986111,0,0,9.26260777809187,9.25796321517413
kodim02.png,1,1,1,1,0.386555989583333,0.386555989583333,0,0,7.76389195301008,7.7640354344331
kodim02.png,2,1,1,1,0.395117865668403,0.395117865668403,0,0,7.77230013030536,7.76650728100999
kodim03.png,1,1,1,1,0.391642252604167,0.391642252604167,0,0,8.80445701658376,8.80148136794278
kodim03.png,2,1,1,1,0.392405192057292,0.392405192057292,0,0,8.81004377702872,8.81001870233386
kodim04.png,1,1,1,1,0.389183892144097,0.389183892144097,0,0,8.77912014051227,8.78195288089212
kodim04.png,2,1,1,1,0.379096137152778,0.379096137152778,0,0,8.77701959062406,8.77575473670566
kodim05.png,1,1,1,1,0.391981336805556,0.391981336805556,0,0,8.06176954147075,8.05986252574078
kodim05.png,2,1,1,1,0.396389431423611,0.396389431423611,0,0,8.05419547921936,8.05631400402237
kodim06.png,1,1,1,1,0.391727023654514,0.391727023654514,0,0,8.55134115328992,8.5596774674996
kodim06.png,2,1,1,1,0.38604736328125,0.38604736328125,0,0,8.54983286977751,8.55807913236269
kodim07.png,1,1,1,1,0.385793050130208,0.385793050130208,0,0,9.24857837360867,9.25494907145579
kodim07.png,2,1,1,1,0.387658013237847,0.387658013237847,0,0,9.24142828068327,9.25377417580526
kodim08.png,1,1,1,1,0.393083360460069,0.393083360460069,0,0,8.40155555707122,8.40074683075511
kodim08.png,2,1,1,1,0.388929578993056,0.388929578993056,0,0,8.40183751947175,8.40407856224168
