caseName,tileSize,tileCount,height,width,payloadBytes,encryptMedianMs,encryptIQRMs,decryptMedianMs,decryptIQRMs,encryptMBps,decryptMBps,encryptMemoryDeltaMB,decryptMemoryDeltaMB,encryptMemoryAfterMB,decryptMemoryAfterMB,trialCount,warmupCount
B16_256tiles,16,256,256,256,196608,76.4681,3.70882500000002,77.4155,3.458575,2.57111135231554,2.53964645322965,0.078125,0,2200.74609375,2200.74609375,5,2
B16_256tiles,16,256,256,256,196608,75.463,0.611049999999992,76.6986,1.179675,2.60535626730981,2.56338446855614,0,0,2203.1171875,2203.1171875,5,2
B16_1024tiles,16,1024,512,512,786432,302.0272,8.56290000000001,311.8266,8.06887499999993,2.60384495171296,2.52201704408796,0,0,2198.0390625,2198.0390625,5,2
B16_1024tiles,16,1024,512,512,786432,288.4409,13.4687500000001,293.8993,6.89437499999997,2.72649267146233,2.6758553014587,0,0.00390625,2204.08203125,2204.08203125,5,2
