seedIndex,perturbation,changedCipherBytes,changedCipherPixels,meanChannelNPCR_percent,minimumChannelNPCR_percent,meanChannelUACI_percent,minimumChannelUACI_percent
1,plaintextBit,12236,4096,99.5768229166667,99.4384765625,33.4650097017974,33.1026922487745
1,masterKeyBit,12238,4096,99.5930989583333,99.5361328125,33.6353975183824,33.1922104779412
1,nonceBit,12245,4096,99.6500651041667,99.462890625,33.5782718035131,33.1479779411765
2,plaintextBit,12222,4096,99.462890625,99.3896484375,33.6339294832517,33.3716299019608
2,masterKeyBit,12251,4096,99.6988932291667,99.658203125,33.4062563827615,33.3867570465687
2,nonceBit,12247,4096,99.6663411458333,99.560546875,33.400448069853,33.0792356004902
3,plaintextBit,12247,4096,99.6663411458333,99.560546875,33.7696269914216,33.7109375
3,masterKeyBit,12239,4096,99.6012369791667,99.5361328125,33.6920445261438,33.4848920036765
3,nonceBit,12249,4096,99.6826171875,99.609375,33.6040262459151,33.438170189951
