tileSize,tileCount,campaignIndex,replicateIndex,seed,xorPerPayloadByte,bytesPerInvocation,timedTotalBytes,repeatCount,trialCount,warmupCount,indexedMedianMs,indexedIQRMs,feedbackMedianMs,feedbackIQRMs,medianPairedDeltaMs,medianPairedRatio,feedbackSlowerTrialCount,feedbackFasterTrialCount
16,16,1,1,10101,1,12288,8392704,683,10,2,0.0238430453879941,0.0007289897510981,0.0229751098096633,0.000355344070278187,-0.000880234260614935,0.963175385375604,1,9
16,16,1,2,10102,1,12288,8392704,683,10,2,0.0232967789165447,0.001901317715959,0.0222781112737921,0.000361346998535871,-0.000900585651537337,0.961213099114088,1,9
16,16,1,3,10103,1,12288,8392704,683,10,2,0.0231989019033675,0.000350951683748171,0.0227044655929722,0.000848755490483164,-0.00048931185944363,0.978553037874573,1,9
16,64,1,1,10201,1,49152,8404992,171,10,2,0.0907149122807017,0.000497076023391815,0.0898154970760234,0.000936842105263153,-0.00108421052631579,0.988016600537287,2,8
16,64,1,2,10202,1,49152,8404992,171,10,2,0.0920318713450292,0.00288479532163743,0.0897052631578947,0.00246315789473685,-0.00119181286549708,0.986985013112914,0,10
16,64,1,3,10203,1,49152,8404992,171,10,2,0.0904473684210526,0.00302573099415206,0.0890119883040936,0.00111403508771929,-0.00158567251461989,0.982472277289144,0,10
16,256,1,1,10301,1,196608,8454144,43,10,2,0.361511627906977,0.00489767441860461,0.356724418604651,0.00560697674418603,-0.00254302325581396,0.992898811123537,1,9
16,256,1,2,10302,1,196608,8454144,43,10,2,0.357504651162791,0.00499534883720931,0.353172093023256,0.00946046511627907,-0.00447093023255815,0.987609876589778,1,9
16,256,1,3,10303,1,196608,8454144,43,10,2,0.363724418604651,0.0109418604651164,0.356493023255814,0.0302093023255814,-0.00475465116279067,0.986741082303581,2,8
16,1024,1,1,10401,1,786432,8650752,11,10,2,1.46363636363636,0.0420999999999996,1.43408181818182,0.0442181818181819,-0.0259909090909092,0.982059881333831,3,7
16,1024,1,2,10402,1,786432,8650752,11,10,2,1.47843181818182,0.0549454545454542,1.43191363636364,0.0319545454545456,-0.0169409090909091,0.98829493542474,2,8
16,1024,1,3,10403,1,786432,8650752,11,10,2,1.44816818181818,0.0508909090909087,1.40919545454545,0.0321272727272728,-0.0246590909090907,0.983063692362652,0,10
16,16,2,1,11101,1,12288,8392704,683,10,2,0.0227368960468521,0.000352269399707176,0.0219976573938507,0.000244070278184485,-0.000670497803806736,0.97051306175281,0,10
16,16,2,2,11102,1,12288,8392704,683,10,2,0.0226785505124451,0.000235431918008785,0.0222365300146413,0.000576866764275256,-0.000609150805270863,0.973460857063402,1,9
16,16,2,3,11103,1,12288,8392704,683,10,2,0.0227818448023426,0.000494729136163979,0.0222170571010249,0.000515080527086386,-0.000603294289897511,0.973401329304819,1,9
16,64,2,1,11201,1,49152,8404992,171,10,2,0.0899956140350877,0.00153274853801171,0.089103216374269,0.00346900584795322,-0.000982163742690056,0.988940701407752,3,7
16,64,2,2,11202,1,49152,8404992,171,10,2,0.0901751461988304,0.00146023391812866,0.0894327485380117,0.00117134502923975,-0.000594736842105252,0.993389999647502,4,6
16,64,2,3,11203,1,49152,8404992,171,10,2,0.0900614035087719,0.00109473684210526,0.0892590643274854,0.000924561403508758,-0.00110789473684211,0.987669514345835,1,9
16,256,2,1,11301,1,196608,8454144,43,10,2,0.35723488372093,0.00793488372093021,0.352675581395349,0.00520697674418602,-0.0049081395348837,0.98625854122502,1,9
16,256,2,2,11302,1,196608,8454144,43,10,2,0.358623255813953,0.0142581395348838,0.353036046511628,0.00591860465116278,-0.00608837209302324,0.982960053326553,0,10
16,256,2,3,11303,1,196608,8454144,43,10,2,0.355982558139535,0.0040046511627907,0.35441976744186,0.0111837209302326,0.0015953488372093,1.00454360423348,6,4
16,1024,2,1,11401,1,786432,8650752,11,10,2,1.44963181818182,0.0571090909090908,1.42218181818182,0.0424454545454545,-0.0301318181818182,0.979106739556491,0,10
16,1024,2,2,11402,1,786432,8650752,11,10,2,1.42474545454545,0.069890909090909,1.40546818181818,0.0326727272727272,-0.0218136363636363,0.984975740862288,2,8
16,1024,2,3,11403,1,786432,8650752,11,10,2,1.47668636363636,0.0448090909090908,1.42265,0.0939999999999999,-0.0415954545454544,0.971215115616031,3,7
