image,entropyAll,entropyR,entropyG,entropyB,absCorrHorizontal,absCorrVertical,absCorrDiagonal,meanChannelNPCR_percent,minimumChannelNPCR_percent,meanChannelUACI_percent,minimumChannelUACI_percent
kodim01.png,7.99985693371466,7.99954284216934,7.99953306959652,7.99960504145975,0.00193258027875613,0.00115905715478656,0.0020819024548278,99.6118333604601,99.5887756347656,33.4609579780263,33.4358454685586
kodim02.png,7.99984583363376,7.99960719937959,7.99944712671178,7.99957963832795,0.00149153213169704,0.00147065929886195,0.00332215050676755,99.611070421007,99.6009826660156,33.5065844168071,33.4969773635366
kodim03.png,7.99984494355878,7.999556567615,7.99953677479627,7.99953227406466,0.00159117416900289,0.00338845597434736,0.00136759717548963,99.6021694607205,99.5923360188802,33.4261752525446,33.3979218925526
kodim04.png,7.99984968561195,7.9995180478923,7.99946415467693,7.99952751059743,0.00210237058315153,0.00107230216405665,0.00263093533159485,99.5943705240885,99.5905558268229,33.4736357379324,33.4017565359478
kodim05.png,7.99983818033787,7.99956159830934,7.99950643571544,7.99953468234869,0.00339972701935636,0.00271744335724338,0.00109562124096406,99.6131049262153,99.5989481608073,33.4454927465236,33.4049160028595
kodim06.png,7.99982180606751,7.99952828479958,7.99951983753618,7.99954051715848,0.00371991040075966,0.0017197219030905,0.00154664489732011,99.6082729763455,99.6009826660156,33.4569069191262,33.4164049734478
kodim07.png,7.99983618269269,7.99957471658858,7.99952357782648,7.99947152473396,0.00199764349948568,0.00201500397098127,0.0010762590248537,99.6058993869357,99.6040344238281,33.4750449319811,33.4486508836934
kodim08.png,7.99985393757649,7.9995624408125,7.99952104984478,7.99956803703829,0.00355766856705927,0.0022979675182898,0.00129083989033453,99.6126810709635,99.6055603027344,33.4923671481397,33.4683945599725
kodim09.png,7.99983939176843,7.99953608081924,7.99947631606968,7.99957948199939,0.00208458404866885,0.00324969644681745,0.00129632618545681,99.6142069498698,99.603271484375,33.429016578691,33.3984464757583
kodim10.png,7.99986878431184,7.99953891742267,7.99957249983529,7.99961250609869,0.00266088642200761,0.00237118479852161,0.000537731802016309,99.6011522081163,99.5936075846354,33.4588333827998,33.4319170783548
kodim11.png,7.99984654264337,7.99948316781735,7.99957382690917,7.99958822478104,0.00203450321743767,0.00103527322551589,0.0028783971892451,99.6045430501302,99.6012369791667,33.4634997797948,33.4430759404999
kodim12.png,7.99980789059096,7.99949983251051,7.99948990463972,7.99951944144017,0.000670461756469036,0.00353753636833182,0.00350719459555318,99.6127658420139,99.6037801106771,33.4622418438947,33.4562732970793
kodim13.png,7.99984638142546,7.99948523479532,7.99944331641903,7.99953295414484,0.00057403138688539,0.00153169640635599,0.00182238799204963,99.6114942762587,99.5994567871094,33.4553414803964,33.4250915128422
kodim14.png,7.99985600605796,7.99949963591872,7.99948824315085,7.99951816910852,0.00175463468536449,0.00400336768567835,0.00260178768447819,99.6070861816406,99.5964050292969,33.4711963262953,33.4451264026119
kodim15.png,7.99985155521333,7.99959311098736,7.99951933717769,7.99947043002158,0.0033270929226978,0.00112435242860464,0.0019481302023228,99.6107313368056,99.5997111002604,33.4678859336704,33.4445469675501
kodim16.png,7.9998384610703,7.9995064643733,7.99947529757062,7.99955061961555,0.00227045249645092,0.00118137569074549,0.00115255532324319,99.6015760633681,99.5936075846354,33.4357208052492,33.40676600637
kodim17.png,7.99983030521372,7.99955084803116,7.99944524163228,7.99950581611655,0.00436615467479689,0.00267448666840215,0.00139793209370933,99.6031867133246,99.5961507161458,33.4669514575036,33.4539376053156
kodim18.png,7.9998466112556,7.99952558834015,7.99951345678997,7.99960367769117,0.00238218176870297,0.00109859259396005,0.00274886489274754,99.6141221788195,99.6063232421875,33.4860418980418,33.4524885190079
kodim19.png,7.99983026269848,7.99955327461975,7.99951101324466,7.99950283463922,0.000832630871588633,0.00315484030328013,0.00109105906838172,99.611324734158,99.5920817057292,33.4531580440879,33.4444302826926
kodim20.png,7.9998390840949,7.99952953586873,7.99950805126951,7.99955310985554,0.00154208509556007,0.00231163618939861,0.00276109252200742,99.6057298448351,99.591318766276,33.4469245461857,33.3894786959381
kodim21.png,7.9998564381822,7.99952530980771,7.99953766558213,7.99957745554856,0.000746359833847583,0.00145297028847385,0.00135225458174233,99.6072557237413,99.6012369791667,33.4751845548875,33.4453029258579
kodim22.png,7.9998615309354,7.99948576285338,7.99951992454938,7.99958867338031,0.00208920395761846,0.00377887668958391,0.00261410438146399,99.6068318684896,99.5994567871094,33.5056961491737,33.4697808159723
kodim23.png,7.99985441213532,7.99958677026023,7.99952335481927,7.99957551440205,0.0019736006470816,0.00190951729086857,0.00153489174666508,99.6085272894965,99.596913655599,33.4629735344116,33.4194118524689
kodim24.png,7.99983517120599,7.99951456147786,7.99952238961434,7.99944221834233,0.00298735249610721,0.00257871986317686,0.00214913661601186,99.6084425184462,99.5867411295573,33.4472174218538,33.3998327317581
