image,nonceHex,height,width,cipherEntropy,maximumAbsoluteError,roundTripPass
kodim01.png,101112131415161718191a1b1c1d1e1f,512,768,7.99985263576176,0,1
kodim23.png,505152535455565758595a5b5c5d5e5f,512,768,7.99983513254754,0,1
